name,reviews,rating,category,address,website,url,query,facebook_ads_search
Posh Living Interior Design Pte Ltd,155,4.7,Interior designer,"62 Ubi Rd 1, #01-06, #2 Oxley Bizhub, 408734",poshliving.com.sg,https://www.google.com/maps/place/Posh+Living+Interior+Design+Pte+Ltd/data=!4m7!3m6!1s0x31da17f338026a39:0xa77253188e0a8cf8!8m2!3d1.3322807!4d103.8917335!16s%2Fg%2F11cjh_sckg!19sChIJOWoCOPMX2jER-IwKjhhTcqc?authuser=0&hl=en&rclk=1,interior designer Ubi Singapore,
Jesigns Interior Design Pte Ltd,147,4.9,Interior designer,"21 Hougang St 51, #02-19 Green Shopping Mall, 02-01, Singapore 538719",jesignsinteriordesign.com,https://www.google.com/maps/search/?api=1&query=Jesigns%20Interior%20Design%20Pte%20Ltd%2021%20Hougang%20St%2051%2C%20%2302-19%20Green%20Shopping%20Mall%2C%2002-01%2C%20Singapore%20538719,interior design company Singapore,
Starry Homestead @ Paya Lebar,145,4.5,Interior designer,"140 Paya Lebar Rd, #01-01 AZ @ Paya Lebar, Singapore 409015",starryhomestead.com,https://www.google.com/maps/place/Starry+Homestead+@+Paya+Lebar/data=!4m7!3m6!1s0x31da178ab5c8705b:0x54da03caabc1b8c!8m2!3d1.3270701!4d103.8906873!16s%2Fg%2F11b6nnr14d!19sChIJW3DItYoX2jERjBu8qjygTQU?authuser=0&hl=en&rclk=1,interior designer Paya Lebar Singapore,
D&R Design Reno,143,5,Interior designer,"39 Woodlands Cl, #04-64, Singapore 737856",designreno.com.sg,https://www.google.com/maps/place/D%26R+Design+Reno/data=!4m7!3m6!1s0x31da165b8eeaaaab:0x50a6091573859b71!8m2!3d1.4377093!4d103.807095!16s%2Fg%2F11p56n79vz!19sChIJq6rqjlsW2jERcZuFcxUJplA?authuser=0&hl=en&rclk=1,interior designer Woodlands Singapore,
Hamid & Sons Interior Design,138,4.7,Interior designer,"Blk 18 Marsiling Industrial Estate Rd 9, #01-08, Singapore 739173",hamidnsons.com,https://www.google.com/maps/place/Hamid+%26+Sons+Interior+Design/data=!4m7!3m6!1s0x31da1306d406097d:0xe63fde9901aae2f1!8m2!3d1.4420982!4d103.7814325!16s%2Fg%2F11ckr675wf!19sChIJfQkG1AYT2jER8eKqAZneP-Y?authuser=0&hl=en&rclk=1,interior designer Woodlands Singapore,
U-Home Interior Design Pte Ltd,138,4.4,Interior designer,"81 Ubi Ave 4, #01-19/20 UB. One, Singapore 408830",u-home.com.sg,https://www.google.com/maps/search/?api=1&query=U-Home%20Interior%20Design%20Pte%20Ltd%2081%20Ubi%20Ave%204%2C%20%2301-19%2F20%20UB.%20One%2C%20Singapore%20408830,interior design company Singapore,
In-Expat,137,4.7,Interior designer,"47 Kallang Pudding Rd, #06-01, Singapore 349318",inexpatsg.com,https://www.google.com/maps/search/?api=1&query=In-Expat%2047%20Kallang%20Pudding%20Rd%2C%20%2306-01%2C%20Singapore%20349318,interior design company Singapore,
Spacious Planners Pte. Ltd.,130,4.8,Interior designer,"2 Jurong East Street 21, #03-31 IMM Building, Singapore 609601",spacious.com.sg,https://www.google.com/maps/place/Spacious+Planners+Pte.+Ltd./data=!4m7!3m6!1s0x31da100ddadb696b:0x4f0f1aaf805aa048!8m2!3d1.3356066!4d103.7469963!16s%2Fg%2F1tg6s6lg!19sChIJa2nb2g0Q2jERSKBagK8aD08?authuser=0&hl=en&rclk=1,interior designer Jurong Singapore,
Empyrean Design Studio,129,4.9,Interior designer,"12 Tampines North Dr. 4, #01-01, Singapore 529435",empyreandesign.sg,https://www.google.com/maps/place/Empyrean+Design+Studio/data=!4m7!3m6!1s0x31da172b1e6c512f:0x42d98b497335840d!8m2!3d1.3642875!4d103.931789!16s%2Fg%2F11vrl58w3r!19sChIJL1FsHisX2jERDYQ1c0mL2UI?authuser=0&hl=en&rclk=1,interior designer Ubi Singapore,
Magnificent Living Concept Pte. Ltd.,128,4.9,Interior designer,"235 Yishun Street 21, #01-458, Postal 760235",maglivingconcept.sg,https://www.google.com/maps/place/Magnificent+Living+Concept+Pte.+Ltd./data=!4m7!3m6!1s0x31da1463f8e95555:0xbec117c3ea4cc7a9!8m2!3d1.4346428!4d103.8385384!16s%2Fg%2F11j8k9293w!19sChIJVVXp-GMU2jERqcdM6sMXwb4?authuser=0&hl=en&rclk=1,interior designer Yishun Singapore,@magnificentlivingconcept
The Orange Cube Pte. Ltd.,126,4.7,Interior designer,"140 Paya Lebar Rd, #01-15 AZ@Paya Lebar, Singapore 409015",theorangecube.com,https://www.google.com/maps/search/?api=1&query=The%20Orange%20Cube%20Pte.%20Ltd.%20140%20Paya%20Lebar%20Rd%2C%20%2301-15%20AZ%40Paya%20Lebar%2C%20Singapore%20409015,interior design company Singapore,@theorangecube_sg
Urban Home Design Pte Ltd,126,4.9,Interior designer,"100E Pasir Panjang Rd, #01-02 B&D Building, Singapore 118521",urbanhomedesign.com.sg,https://www.google.com/maps/search/?api=1&query=Urban%20Home%20Design%20Pte%20Ltd%20100E%20Pasir%20Panjang%20Rd%2C%20%2301-02%20B%26D%20Building%2C%20Singapore%20118521,interior design company Singapore,@urbanhomedesign_sg
Quad.R Design Pte Ltd,118,4.9,Interior designer,"18 Boon Lay Wy, #03-128, Singapore 609966",quadr.com.sg,https://www.google.com/maps/place/Quad.R+Design+Pte+Ltd/data=!4m7!3m6!1s0x31da115c0b873a9b:0x9916336453b11176!8m2!3d1.3283821!4d103.7529774!16s%2Fg%2F11sqk38c58!19sChIJmzqHC1wR2jERdhGxU2QzFpk?authuser=0&hl=en&rclk=1,interior designer Jurong Singapore,@quad.rdesign
Starry Homestead @ Balestier Road,118,4.7,Interior designer,"511 Balestier Rd, Singapore 329849",starryhomestead.com,https://www.google.com/maps/place/Starry+Homestead+@+Balestier+Road/data=!4m7!3m6!1s0x31da19df89c99a87:0x11e66c98f7a3cf63!8m2!3d1.3263894!4d103.8467695!16s%2Fg%2F11cs9xlk65!19sChIJh5rJid8Z2jERY8-j95hs5hE?authuser=0&hl=en&rclk=1,interior designer Balestier Singapore,
Artspaze Pte. Ltd.,118,4.9,Interior designer,"76 Playfair Rd, #03-02 LHK 2 Building, Singapore 367996",artspaze.sg,https://www.google.com/maps/search/?api=1&query=Artspaze%20Pte.%20Ltd.%2076%20Playfair%20Rd%2C%20%2303-02%20LHK%202%20Building%2C%20Singapore%20367996,interior design company Singapore,
Zenith Arc (Interior Design Company Singapore),117,4.8,Interior designer,"24 New Industrial Rd, #04-03 INSPACE, Singapore 536210",zenitharc.com.sg,https://www.google.com/maps/place/Zenith+Arc+%28Interior+Design+Company+Singapore%29/data=!4m7!3m6!1s0x31da173eecb1f381:0x93e8e7ef557c9a82!8m2!3d1.3442808!4d103.886479!16s%2Fg%2F11c70dnl2m!19sChIJgfOx7D4X2jERgpp8Ve_n6JM?authuser=0&hl=en&rclk=1,interior design company Singapore,@zenitharc.sg
MiD INTERIOR DESIGN PTE LTD,114,4.9,Interior designer,"10 Ubi Cres, Lobby B #01-22, Singapore 408564",midinterior.com.sg,https://www.google.com/maps/place/MiD+INTERIOR+DESIGN+PTE+LTD/data=!4m7!3m6!1s0x31da1915518ded73:0xf2d7036611579f72!8m2!3d1.3261729!4d103.8967217!16s%2Fg%2F11kk86j57l!19sChIJc-2NURUZ2jERcp9XEWYD1_I?authuser=0&hl=en&rclk=1,interior designer Ubi Singapore,@midinteriordesignsg
The Interior Place Pte Ltd,114,4.6,Interior designer,"579 Balestier Rd, Singapore 329894",theinteriorplace.com.sg,https://www.google.com/maps/place/The+Interior+Place+Pte+Ltd/data=!4m7!3m6!1s0x31da178f215400cd:0xfd81add722fa1ce4!8m2!3d1.326462!4d103.8439913!16s%2Fg%2F1tl1kzs2!19sChIJzQBUIY8X2jER5Bz6Itetgf0?authuser=0&hl=en&rclk=1,interior designer Balestier Singapore,
Weiken | Interior Design Singapore,114,4.5,Interior designer,"184 Woodlands Industrial Park E5, #02-01, Singapore 757514",weiken.com,https://www.google.com/maps/search/?api=1&query=Weiken%20%7C%20Interior%20Design%20Singapore%20184%20Woodlands%20Industrial%20Park%20E5%2C%20%2302-01%2C%20Singapore%20757514,interior design company Singapore,
